city,real_farmer_count,real_prod_area_ha,natural_collect_area_ha,resting_terrain_ha,total_area_ha,prod_quant_tonnes,year,yield_tonnes_per_hectar,geo_group
ELAZIG,89,652.5141,0,13.9995,666.5136,1802.4027697230003,2016,2.762,dogu_anadolu
ERZINCAN,206,2735.5143,0,68.5981,2804.1124,6188.048713000001,2016,2.262,dogu_anadolu
ERZURUM,2599,30768.9389,0,1501.5356,32270.4745,122743.06973931,2016,3.989,dogu_anadolu
ESKISEHIR,12,57.1263,0,1.3699,58.4962,425.0619086987987,2016,7.441,ic_anadolu
GAZIANTEP,85,1214.8753,0,0,1214.8753,5471.985883189999,2016,4.504,guneydogu_anadolu
GIRESUN,20,130.9988,0,0,130.9988,294.84299,2016,2.251,karadeniz
GUMUSHANE,25,404.6601,0,52.0512,456.7113,5906.72506019,2016,14.597,karadeniz
HATAY,59,673.1871,694,0,1367.1871,3572.3711701418,2016,2.613,akdeniz
IGDIR,3,1.8965,0,2.3802,4.2767,3.4137001,2016,1.8,dogu_anadolu
ISPARTA,88,302.6235,1100,3.3665,1405.99,1937.8851607010872,2016,1.382,akdeniz
ISTANBUL,19,51.4856,0,21.6969,73.1825,515.4855701260209,2016,10.012,marmara
IZMIR,1953,11634.2474,14320,31.8192,25986.0666,63550.08513501611,2016,2.449,ege
KAHRAMANMARAS,23,186.8557,0,5.5001,192.3558,573.095818180004,2016,3.067,akdeniz
KARABUK,2,26.8758,0,0.4162,27.292,44.02591990701001,2016,1.638,karadeniz
KARAMAN,144,576.721,0,5.3477,582.0687,2824.131348813,2016,4.897,ic_anadolu
KARS,3220,44583.9997,0,17.7306,44601.7303,97315.592339,2016,2.183,dogu_anadolu
KASTAMONU,15,125.7268,0,0,125.7268,809.4994812090001,2016,6.439,karadeniz
KAYSERI,35,114.2111,0,0,114.2111,574.6776955740002,2016,5.032,ic_anadolu
KIRIKKALE,3,4.6553,0,0,4.6553,63.03909994199999,2016,13.541,ic_anadolu
KIRKLARELI,5,23.0327,0,0.4119,23.4446,47.9882540904,2016,2.083,marmara
KIRSEHIR,2,32.7841,0,0,32.7841,69.279980028,2016,2.113,ic_anadolu
KILIS,228,2028.8515,0,0,2028.8515,3615.5377498,2016,1.782,guneydogu_anadolu
KOCAELI,5,46.4074,0,0,46.4074,271.69457331979993,2016,5.855,marmara
KONYA,529,1350.5956,0,9.8702,1360.4658,18278.923999723993,2016,13.534,ic_anadolu
KUTAHYA,103,324.7056,0,2.65,327.3556,2606.95433,2016,8.029,ege
MALATYA,629,4346.8686,0,165.1748,4512.0434,87237.08100876097,2016,20.069,dogu_anadolu
MANISA,1359,8673.5399,4520,19.5178,13213.0577,102589.94998041,2016,7.776,ege
MARDIN,29,1268.3703,0,0,1268.3703,8573.850525999998,2016,6.76,guneydogu_anadolu
MERSIN,279,1527.5703,709,3.5994,2240.1697,7870.869866541123,2016,3.519,akdeniz
MUGLA,575,3448.1622,2200,1.9737,5650.1359,9881.9417463592,2016,1.75,ege
MUS,2034,28162.3282,0,106.0337,28268.3619,244097.900517001,2016,8.668,dogu_anadolu
NEVSEHIR,5,31.2767,0,0,31.2767,614.8916506651,2016,19.66,ic_anadolu
NIGDE,258,659.1693,1034,48.2635,1741.4328,37414.67466298999,2016,22.097,ic_anadolu
ORDU,504,1753.1539,650,0,2403.1539,8982.6618557,2016,3.738,karadeniz
OSMANIYE,1,0,100,0,100,10,2016,0.1,akdeniz
RIZE,7902,4318.6922,0,0,4318.6922,68513.67617361998,2016,15.864,karadeniz
SAKARYA,27,129.4435,0,0,129.4435,445.79013720842784,2016,3.444,marmara
SAMSUN,788,2304.4694,0,15.9741,2320.4435,4480.386482245,2016,1.944,karadeniz
SIVAS,376,7059.688,0,706.768,7766.456,16796.753182251,2016,2.379,ic_anadolu
SANLIURFA,250,9465.2002,0,4.0976,9469.2978,36659.5967499,2016,3.873,guneydogu_anadolu
TEKIRDAG,15,112.421,0,4.9894,117.4104,584.781298,2016,5.202,marmara
TOKAT,277,813.3399,2004,55.201,2872.5409,17377.364809122002,2016,6.168,karadeniz
TRABZON,962,738.6377,0,0.64,739.2777,1881.73813725,2016,2.548,karadeniz
TUNCELI,143,645.3266,0,216.5329,861.8595,1913.39784809,2016,2.965,dogu_anadolu
USAK,15,72.1288,0,0.18,72.3088,155.192227,2016,2.152,ege
VAN,5145,56693.0464,0,1438.5064,58131.5528,176284.7719306,2016,3.109,dogu_anadolu
YALOVA,5,10.3767,0,0,10.3767,251.04869973379996,2016,24.194,marmara
YOZGAT,3,158.5845,0,5.0132,163.5977,225.6237011,2016,1.423,ic_anadolu
ZONGULDAK,784,1331.2825,0,0,1331.2825,2467.005599631399,2016,1.853,karadeniz
ADANA,198,1197.3696,0,6.9253,1204.2949,13914.165817709998,2017,11.621,akdeniz
ADIYAMAN,201,1220.5554,0,0,1220.5554,12868.099442,2017,10.543,guneydogu_anadolu
AFYONKARAHISAR,350,1467.5202,0,170.4543,1637.9744999999998,12288.772380220229,2017,8.374,ege
AGRI,1529,33341.1283,0,118.55,33459.6783,92448.3494191,2017,2.773,dogu_anadolu
AKSARAY,1,10.28,0,0,10.28,2.6400001,2017,0.257,ic_anadolu
AMASYA,12,75.2237,248.95,0,324.1737,235.22516349132005,2017,0.726,karadeniz
ANKARA,55,3305.6202,0,153.8853,3459.5054999999998,16153.6862150828,2017,4.887,ic_anadolu
